Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[openssl]: count 40323, average 962, total 38819713

@q5[ksoftirqd/169]: count 20781, average 433, total 9008236
@q5[openssl]: count 316184, average 439, total 139033762

@uc: count 2738, average 5357, total 14667953

@q1[openssl]: count 919, average 2572, total 2364151
@q1[ksoftirqd/169]: count 177, average 2751, total 487078

@q2[openssl]: count 1566, average 656, total 1028594
@q2[ksoftirqd/169]: count 259, average 694, total 179922


@q4[ksoftirqd/169]: count 2776, average 965, total 2680056
@q4[openssl]: count 40094, average 965, total 38700903
@q4[kworker/169:2]: count 8, average 5138, total 41107

@q5[ksoftirqd/169]: count 21342, average 434, total 9265572
@q5[openssl]: count 314467, average 439, total 138260422
@q5[kworker/169:2]: count 64, average 962, total 61575

@uc: count 3163, average 5466, total 17290042

@q1[openssl]: count 894, average 2551, total 2280783
@q1[ksoftirqd/169]: count 154, average 2601, total 400700

@q2[openssl]: count 1585, average 653, total 1036166
@q2[ksoftirqd/169]: count 227, average 670, total 152133


@q4[ksoftirqd/169]: count 2340, average 956, total 2237395
@q4[openssl]: count 40545, average 962, total 39039405

@q5[ksoftirqd/169]: count 17934, average 434, total 7784522
@q5[openssl]: count 317990, average 436, total 138683269

@uc: count 2274, average 6146, total 13976089

@q1[openssl]: count 914, average 2557, total 2337813
@q1[ksoftirqd/169]: count 167, average 2759, total 460791

@q2[openssl]: count 1565, average 654, total 1024093
@q2[ksoftirqd/169]: count 237, average 696, total 165127


@q4[openssl]: count 40343, average 964, total 38901073
@q4[ksoftirqd/169]: count 2519, average 968, total 2438598

@q5[ksoftirqd/169]: count 19357, average 435, total 8421123
@q5[openssl]: count 316415, average 436, total 137965390

@uc: count 2587, average 7122, total 18426151

@q1[openssl]: count 886, average 2543, total 2253355
@q1[ksoftirqd/169]: count 172, average 2592, total 445895

@q2[openssl]: count 1562, average 658, total 1027927
@q2[ksoftirqd/169]: count 256, average 663, total 169796


