Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q5[openssl]: count 312993, average 433, total 135730914
@q5[kworker/169:2]: count 370, average 520, total 192539

@uc: count 2170, average 5816, total 12622226

@q1[openssl]: count 913, average 2473, total 2258642
@q1[ksoftirqd/169]: count 132, average 2697, total 356027

@q2[openssl]: count 1577, average 641, total 1011095
@q2[ksoftirqd/169]: count 202, average 661, total 133641
@q2[kworker/169:2]: count 2, average 18505, total 37010


@q4[openssl]: count 40222, average 956, total 38479336
@q4[ksoftirqd/169]: count 2517, average 963, total 2426313
@q4[kworker/169:2]: count 51, average 1602, total 81708

@q5[ksoftirqd/169]: count 19436, average 433, total 8417763
@q5[openssl]: count 315303, average 433, total 136633319
@q5[kworker/169:2]: count 405, average 503, total 204103

@uc: count 2387, average 7151, total 17069991

@q1[openssl]: count 930, average 2482, total 2308643
@q1[ksoftirqd/169]: count 151, average 2640, total 398773

@q2[openssl]: count 1651, average 654, total 1079780
@q2[ksoftirqd/169]: count 219, average 662, total 145187


@q4[ksoftirqd/169]: count 2431, average 951, total 2314141
@q4[openssl]: count 40676, average 958, total 38996126

@q5[openssl]: count 318801, average 433, total 138194163
@q5[ksoftirqd/169]: count 18688, average 434, total 8117368

@uc: count 2150, average 9641, total 20729691

@q1[openssl]: count 909, average 2511, total 2283345
@q1[ksoftirqd/169]: count 157, average 2728, total 428305

@q2[openssl]: count 1598, average 652, total 1043049
@q2[ksoftirqd/169]: count 220, average 668, total 147135


@q4[openssl]: count 40407, average 959, total 38771443
@q4[ksoftirqd/169]: count 2788, average 966, total 2693718
@q4[kworker/169:2]: count 9, average 4774, total 42971

@q5[ksoftirqd/169]: count 21553, average 433, total 9352986
@q5[openssl]: count 316860, average 433, total 137399344
@q5[kworker/169:2]: count 72, average 880, total 63388

@uc: count 2288, average 9687, total 22165599

@q1[openssl]: count 861, average 2467, total 2124323
@q1[ksoftirqd/169]: count 142, average 2668, total 378911
@q1[kworker/169:2]: count 1, average 16922, total 16922

@q2[openssl]: count 1570, average 650, total 1021830
@q2[ksoftirqd/169]: count 228, average 661, total 150821
