Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q4[ksoftirqd/169]: count 17940, average 1281, total 22982221

@q5[ksoftirqd/169]: count 142640, average 440, total 62780798

@uc: count 5481, average 3012, total 16510294




@q4[ksoftirqd/169]: count 18064, average 1297, total 23433538

@q5[ksoftirqd/169]: count 143667, average 439, total 63080246

@uc: count 6945, average 2545, total 17679161




@q4[ksoftirqd/169]: count 17728, average 1284, total 22763734

@q5[ksoftirqd/169]: count 140995, average 438, total 61815985

@uc: count 7131, average 2834, total 20210891




@q4[ksoftirqd/169]: count 17984, average 1278, total 22999959

@q5[ksoftirqd/169]: count 143046, average 440, total 62953149

@uc: count 6548, average 3692, total 24180971




@q4[ksoftirqd/169]: count 17798, average 1287, total 22912842

@q5[ksoftirqd/169]: count 141544, average 438, total 62117077

@uc: count 7387, average 2768, total 20448467




@q4[ksoftirqd/169]: count 17912, average 1290, total 23121000

@q5[ksoftirqd/169]: count 142458, average 437, total 62391105

@uc: count 6252, average 4092, total 25584593




@q4[ksoftirqd/169]: count 17855, average 1281, total 22889013

@q5[ksoftirqd/169]: count 142055, average 438, total 62315205

@uc: count 6138, average 3089, total 18964000




@q4[ksoftirqd/169]: count 17674, average 1292, total 22842802

@q5[ksoftirqd/169]: count 140566, average 441, total 62118529

@uc: count 7848, average 3106, total 24376969




@q4[ksoftirqd/169]: count 17699, average 1269, total 22470037

@q5[ksoftirqd/169]: count 140716, average 438, total 61669803

@uc: count 7918, average 4498, total 35615680




@q4[ksoftirqd/169]: count 17696, average 1291, total 22854725

@q5[ksoftirqd/169]: count 140740, average 440, total 61992966

@uc: count 7493, average 5861, total 43919119




@q4[ksoftirqd/169]: count 17703, average 1292, total 22876794

@q5[ksoftirqd/169]: count 140845, average 439, total 61968185

@uc: count 7758, average 2888, total 22408209




@q4[ksoftirqd/169]: count 17676, average 1268, total 22425132

@q5[ksoftirqd/169]: count 140586, average 438, total 61702109

@uc: count 9303, average 2572, total 23932082

@q1[swapper/169]: count 69, average 2597, total 179197
@q1[ksoftirqd/169]: count 14, average 5478, total 76701

@q2[swapper/169]: count 160, average 677, total 108361
@q2[ksoftirqd/169]: count 27, average 1977, total 53393


@q4[swapper/169]: count 3347, average 1055, total 3531436
@q4[ksoftirqd/169]: count 21032, average 1268, total 26675282

@q5[swapper/169]: count 26233, average 470, total 12339147
@q5[ksoftirqd/169]: count 167169, average 472, total 79001411

@uc: count 11976, average 3119, total 37356685
