Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.




@q5[ksoftirqd/169]: count 142069, average 442, total 62836671

@uc: count 6016, average 3093, total 18608221




@q4[ksoftirqd/169]: count 17736, average 1285, total 22802852

@q5[ksoftirqd/169]: count 141058, average 443, total 62621905

@uc: count 6930, average 3096, total 21458886




@q4[ksoftirqd/169]: count 17776, average 1256, total 22336302

@q5[ksoftirqd/169]: count 141377, average 442, total 62510630

@uc: count 7603, average 2723, total 20710149




@q4[ksoftirqd/169]: count 17669, average 1266, total 22385964

@q5[ksoftirqd/169]: count 140574, average 442, total 62157650

@uc: count 6942, average 2521, total 17504513

@q1[swapper/169]: count 422, average 2847, total 1201684
@q1[ksoftirqd/169]: count 74, average 3141, total 232501
@q1[kworker/169:0]: count 4, average 9367, total 37470

@q2[swapper/169]: count 637, average 659, total 420417
@q2[ksoftirqd/169]: count 118, average 937, total 110677
@q2[kworker/169:0]: count 5, average 7766, total 38832


@q4[swapper/169]: count 14114, average 1034, total 14605451
@q4[ksoftirqd/169]: count 22412, average 1329, total 29806194
@q4[kworker/169:0]: count 6, average 3628, total 21771

@q5[swapper/169]: count 110744, average 466, total 51710541
@q5[ksoftirqd/169]: count 177928, average 556, total 99056002
@q5[kworker/169:0]: count 40, average 813, total 32533

@uc: count 23875, average 1710, total 40837301
