Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 1602, average 2624, total 4203999
@q1[ksoftirqd/169]: count 150, average 2641, total 396187

@q2[openssl]: count 1675, average 654, total 1096587
@q2[ksoftirqd/169]: count 222, average 667, total 148101


@q4[ksoftirqd/169]: count 2238, average 959, total 2147914
@q4[openssl]: count 34928, average 959, total 33498127

@q5[ksoftirqd/169]: count 17060, average 438, total 7478700
@q5[openssl]: count 272098, average 439, total 119558627

@uc: count 2184, average 6104, total 13332679

@q1[openssl]: count 1573, average 2593, total 4079134
@q1[ksoftirqd/169]: count 157, average 2622, total 411678
@q1[kworker/169:1]: count 1, average 21370, total 21370

@q2[openssl]: count 1678, average 648, total 1088419
@q2[ksoftirqd/169]: count 217, average 665, total 144387
@q2[kworker/169:1]: count 2, average 3452, total 6904


@q4[ksoftirqd/169]: count 2322, average 951, total 2209499
@q4[openssl]: count 34774, average 955, total 33240126
@q4[kworker/169:1]: count 69, average 1046, total 72221

@q5[ksoftirqd/169]: count 17758, average 437, total 7772373
@q5[openssl]: count 270864, average 439, total 118935070
@q5[kworker/169:1]: count 547, average 445, total 243610

@uc: count 2197, average 5595, total 12292467

@q1[ksoftirqd/169]: count 152, average 2453, total 372903
@q1[openssl]: count 1576, average 2564, total 4041083

@q2[openssl]: count 1678, average 644, total 1081456
@q2[ksoftirqd/169]: count 227, average 659, total 149810


@q4[openssl]: count 34736, average 955, total 33183709
@q4[ksoftirqd/169]: count 2435, average 956, total 2328645

@q5[openssl]: count 270383, average 438, total 118693454
@q5[ksoftirqd/169]: count 18600, average 439, total 8167676

@uc: count 2474, average 6396, total 15825323

@q1[ksoftirqd/169]: count 151, average 2520, total 380540
@q1[openssl]: count 1573, average 2622, total 4125230
@q1[kworker/169:1]: count 1, average 34054, total 34054

@q2[openssl]: count 1663, average 648, total 1077856
@q2[ksoftirqd/169]: count 214, average 661, total 141536
@q2[kworker/169:1]: count 1, average 32701, total 32701


@q4[openssl]: count 34952, average 955, total 33391708
@q4[ksoftirqd/169]: count 2177, average 960, total 2091824
@q4[kworker/169:1]: count 37, average 1422, total 52639

@q5[ksoftirqd/169]: count 16594, average 438, total 7283799
@q5[openssl]: count 272283, average 439, total 119621807
@q5[kworker/169:1]: count 290, average 492, total 142864

@uc: count 2233, average 5853, total 13071917

@q1[ksoftirqd/169]: count 145, average 2496, total 361990
@q1[openssl]: count 1555, average 2619, total 4072725
@q1[kworker/169:1]: count 3, average 14363, total 43091

@q2[openssl]: count 1653, average 646, total 1068175
@q2[ksoftirqd/169]: count 228, average 658, total 150233
@q2[kworker/169:1]: count 4, average 9668, total 38672


@q4[openssl]: count 34639, average 957, total 33168071
@q4[ksoftirqd/169]: count 2411, average 961, total 2317392
@q4[kworker/169:1]: count 109, average 1129, total 123163

@q5[ksoftirqd/169]: count 18409, average 438, total 8068687
@q5[openssl]: count 269884, average 439, total 118588853
@q5[kworker/169:1]: count 858, average 457, total 392313

@uc: count 2792, average 12039, total 33614833

@q1[ksoftirqd/169]: count 147, average 2535, total 372727
@q1[openssl]: count 1586, average 2610, total 4139936

@q2[openssl]: count 1667, average 645, total 1076102
@q2[ksoftirqd/169]: count 212, average 660, total 140059


@q4[ksoftirqd/169]: count 2283, average 951, total 2172175
@q4[openssl]: count 34871, average 957, total 33389104

@q5[ksoftirqd/169]: count 17443, average 437, total 7633982
@q5[openssl]: count 271656, average 439, total 119318997

@uc: count 2121, average 5942, total 12603963

@q1[ksoftirqd/169]: count 148, average 2488, total 368262
@q1[openssl]: count 1555, average 2592, total 4030904
@q1[kworker/169:1]: count 1, average 40727, total 40727

@q2[openssl]: count 1643, average 644, total 1059110
@q2[ksoftirqd/169]: count 227, average 657, total 149239
@q2[kworker/169:1]: count 1, average 33783, total 33783


@q4[openssl]: count 34784, average 955, total 33230718
@q4[ksoftirqd/169]: count 2374, average 958, total 2275224
@q4[kworker/169:1]: count 1, average 21150, total 21150

@q5[ksoftirqd/169]: count 18097, average 438, total 7931248
@q5[openssl]: count 270941, average 439, total 119085006
@q5[kworker/169:1]: count 7, average 2858, total 20008

@uc: count 2602, average 6438, total 16753822

@q1[openssl]: count 1577, average 2580, total 4069011
@q1[ksoftirqd/169]: count 164, average 2653, total 435103

@q2[openssl]: count 1672, average 635, total 1063138
@q2[ksoftirqd/169]: count 229, average 663, total 151907
@q2[kworker/169:1]: count 1, average 37541, total 37541


@q4[openssl]: count 34766, average 955, total 33208484
@q4[ksoftirqd/169]: count 2373, average 958, total 2274336
@q4[kworker/169:1]: count 36, average 1489, total 53635

@q5[ksoftirqd/169]: count 18126, average 438, total 7939858
@q5[openssl]: count 270749, average 439, total 118898952
@q5[kworker/169:1]: count 284, average 493, total 140058

@uc: count 2137, average 6252, total 13361910

@q1[ksoftirqd/169]: count 156, average 2577, total 402111
@q1[openssl]: count 1587, average 2584, total 4101401

@q2[openssl]: count 1670, average 645, total 1078049
@q2[ksoftirqd/169]: count 213, average 659, total 140477
@q2[kworker/169:1]: count 2, average 18444, total 36889


@q4[ksoftirqd/169]: count 2138, average 951, total 2034499
@q4[openssl]: count 34990, average 955, total 33432605
@q4[kworker/169:1]: count 40, average 1399, total 55986

@q5[ksoftirqd/169]: count 16288, average 437, total 7129299
@q5[openssl]: count 272502, average 439, total 119655353
@q5[kworker/169:1]: count 313, average 483, total 151302

@uc: count 2144, average 5635, total 12082170

@q1[openssl]: count 1598, average 2577, total 4118388
@q1[ksoftirqd/169]: count 149, average 2732, total 407181

@q2[openssl]: count 1693, average 644, total 1091184
@q2[ksoftirqd/169]: count 197, average 673, total 132625


@q4[openssl]: count 35231, average 955, total 33677690
@q4[ksoftirqd/169]: count 1938, average 960, total 1861881

@q5[ksoftirqd/169]: count 14791, average 437, total 6472696
@q5[openssl]: count 274317, average 438, total 120423794

@uc: count 2035, average 5206, total 10595539

@q1[ksoftirqd/169]: count 155, average 2501, total 387675
@q1[openssl]: count 1575, average 2613, total 4116427
@q1[kworker/169:1]: count 1, average 40045, total 40045

@q2[openssl]: count 1657, average 648, total 1074243
@q2[ksoftirqd/169]: count 225, average 659, total 148289
@q2[kworker/169:1]: count 1, average 35897, total 35897


@q4[ksoftirqd/169]: count 2235, average 950, total 2123487
@q4[openssl]: count 34933, average 957, total 33436299
@q4[kworker/169:1]: count 1, average 21871, total 21871

@q5[ksoftirqd/169]: count 17007, average 438, total 7457085
@q5[openssl]: count 272103, average 439, total 119492963
@q5[kworker/169:1]: count 7, average 2705, total 18935

@uc: count 2531, average 6593, total 16687433

@q1[ksoftirqd/169]: count 150, average 2475, total 371334
@q1[openssl]: count 1580, average 2623, total 4145464

@q2[openssl]: count 1661, average 644, total 1070920
@q2[ksoftirqd/169]: count 221, average 661, total 146190


@q4[openssl]: count 34898, average 953, total 33292292
@q4[ksoftirqd/169]: count 2260, average 954, total 2157680

@q5[ksoftirqd/169]: count 17220, average 438, total 7554992
@q5[openssl]: count 271917, average 439, total 119468920

@uc: count 2189, average 5434, total 11895968

@q1[openssl]: count 1572, average 2557, total 4020884
@q1[ksoftirqd/169]: count 155, average 2770, total 429430

@q2[openssl]: count 1670, average 645, total 1077253
@q2[ksoftirqd/169]: count 221, average 659, total 145823


@q4[ksoftirqd/169]: count 2297, average 955, total 2195772
@q4[openssl]: count 34870, average 955, total 33326096

@q5[ksoftirqd/169]: count 17512, average 438, total 7687420
@q5[openssl]: count 271524, average 439, total 119239899

@uc: count 2229, average 5742, total 12800451

@q1[openssl]: count 1574, average 2624, total 4130822
@q1[ksoftirqd/169]: count 166, average 2672, total 443579

@q2[openssl]: count 1653, average 646, total 1069304
@q2[ksoftirqd/169]: count 237, average 675, total 160125


@q4[ksoftirqd/169]: count 2308, average 951, total 2196347
@q4[openssl]: count 34842, average 956, total 33310426

@q5[ksoftirqd/169]: count 17586, average 438, total 7713160
@q5[openssl]: count 271575, average 440, total 119514024

@uc: count 2184, average 6028, total 13167046

@q1[ksoftirqd/169]: count 135, average 2495, total 336946
@q1[openssl]: count 1579, average 2592, total 4094181
@q1[kworker/169:1]: count 1, average 39835, total 39835

@q2[openssl]: count 1672, average 645, total 1080043
@q2[ksoftirqd/169]: count 204, average 668, total 136402
@q2[kworker/169:1]: count 1, average 35286, total 35286


@q4[openssl]: count 35198, average 954, total 33589853
@q4[ksoftirqd/169]: count 1961, average 957, total 1877132
@q4[kworker/169:1]: count 1, average 24036, total 24036

@q5[openssl]: count 545751, average 220, total 120425457
@q5[ksoftirqd/169]: count 14922, average 437, total 6521528
@q5[kworker/169:1]: count 6, average 3670, total 22021

@uc: count 2925, average 13183, total 38562246

@q1[openssl]: count 1567, average 2568, total 4024961
@q1[ksoftirqd/169]: count 161, average 2596, total 417965
@q1[kworker/169:1]: count 1, average 33814, total 33814

@q2[openssl]: count 1673, average 640, total 1072343
@q2[ksoftirqd/169]: count 217, average 666, total 144593
@q2[kworker/169:1]: count 2, average 3311, total 6623


@q4[ksoftirqd/169]: count 2186, average 950, total 2077337
@q4[openssl]: count 34910, average 954, total 33334592
@q4[kworker/169:1]: count 71, average 1044, total 74158

@q5[ksoftirqd/169]: count 16692, average 438, total 7312464
@q5[openssl]: count 271840, average 439, total 119441517
@q5[kworker/169:1]: count 561, average 450, total 252923

@uc: count 2329, average 5983, total 13935420

@q1[ksoftirqd/169]: count 151, average 2510, total 379142
@q1[openssl]: count 1546, average 2608, total 4032005

@q2[openssl]: count 1639, average 648, total 1063384
@q2[ksoftirqd/169]: count 215, average 664, total 142952


@q4[ksoftirqd/169]: count 2178, average 957, total 2084648
@q4[openssl]: count 34960, average 957, total 33473731

@q5[ksoftirqd/169]: count 16620, average 437, total 7270797
@q5[openssl]: count 272442, average 439, total 119825214

@uc: count 2121, average 6166, total 13079427

@q1[ksoftirqd/169]: count 160, average 2512, total 402024
@q1[openssl]: count 1571, average 2625, total 4124957

@q2[openssl]: count 1661, average 647, total 1075305
@q2[ksoftirqd/169]: count 222, average 670, total 148881


@q4[ksoftirqd/169]: count 2337, average 955, total 2233667
@q4[openssl]: count 34823, average 956, total 33310916

@q5[ksoftirqd/169]: count 17846, average 438, total 7833936
@q5[openssl]: count 271267, average 439, total 119264846

@uc: count 2230, average 6666, total 14867294

@q1[ksoftirqd/169]: count 144, average 2427, total 349572
@q1[openssl]: count 1543, average 2610, total 4027334

@q2[openssl]: count 1655, average 647, total 1071303
@q2[ksoftirqd/169]: count 229, average 662, total 151754


@q4[ksoftirqd/169]: count 2452, average 954, total 2339877
@q4[openssl]: count 34688, average 955, total 33154690

@q5[ksoftirqd/169]: count 18734, average 437, total 8200141
@q5[openssl]: count 270254, average 439, total 118758344

@uc: count 2587, average 5856, total 15149508

@q1[ksoftirqd/169]: count 155, average 2471, total 383065
@q1[openssl]: count 1570, average 2598, total 4079240

@q2[ksoftirqd/169]: count 221, average 658, total 145483
@q2[openssl]: count 1661, average 663, total 1101564
@q2[kworker/169:1]: count 2, average 15469, total 30938


@q4[ksoftirqd/169]: count 2154, average 948, total 2043826
@q4[openssl]: count 34982, average 955, total 33428875
@q4[kworker/169:1]: count 41, average 1907, total 78219

@q5[ksoftirqd/169]: count 16351, average 437, total 7159771
@q5[openssl]: count 272502, average 439, total 119736899
@q5[kworker/169:1]: count 321, average 461, total 148234

@uc: count 2175, average 5337, total 11609926

@q1[ksoftirqd/169]: count 162, average 2528, total 409692
@q1[openssl]: count 1552, average 2613, total 4056178

@q2[openssl]: count 1657, average 644, total 1068521
@q2[ksoftirqd/169]: count 238, average 675, total 160847


@q4[openssl]: count 34798, average 956, total 33288534
@q4[ksoftirqd/169]: count 2353, average 959, total 2256867

@q5[ksoftirqd/169]: count 17937, average 439, total 7886908
@q5[openssl]: count 271146, average 439, total 119135021

