Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q4[ksoftirqd/169]: count 17509, average 1296, total 22697591

@q5[ksoftirqd/169]: count 139291, average 446, total 62161074

@uc: count 8148, average 2839, total 23139947




@q4[ksoftirqd/169]: count 17170, average 1307, total 22443481

@q5[ksoftirqd/169]: count 136589, average 447, total 61116127

@uc: count 8907, average 2518, total 22435667




@q4[ksoftirqd/169]: count 17475, average 1316, total 23002847

@q5[ksoftirqd/169]: count 275619, average 226, total 62352077

@uc: count 8041, average 2869, total 23073715




@q4[ksoftirqd/169]: count 17089, average 1324, total 22628699

@q5[ksoftirqd/169]: count 135941, average 449, total 61037923

@uc: count 8644, average 2598, total 22462899




@q4[ksoftirqd/169]: count 17410, average 1300, total 22633852

@q5[ksoftirqd/169]: count 138457, average 444, total 61573675

@uc: count 9259, average 2529, total 23424814




@q4[ksoftirqd/169]: count 17456, average 1328, total 23186703

@q5[ksoftirqd/169]: count 138880, average 443, total 61629980

@uc: count 8560, average 2562, total 21938476




@q4[ksoftirqd/169]: count 17547, average 1300, total 22820356

@q5[ksoftirqd/169]: count 139587, average 443, total 61850275

@uc: count 9547, average 4114, total 39285320




@q4[ksoftirqd/169]: count 17434, average 1303, total 22720336

@q5[ksoftirqd/169]: count 138617, average 443, total 61517033

@uc: count 8359, average 4538, total 37938491




@q4[ksoftirqd/169]: count 17807, average 1304, total 23233508

@q5[ksoftirqd/169]: count 141608, average 444, total 62897290

@uc: count 11131, average 2266, total 25232029




@q4[ksoftirqd/169]: count 17542, average 1322, total 23206710

@q5[ksoftirqd/169]: count 139557, average 445, total 62194554

@uc: count 8917, average 2648, total 23620346




@q4[ksoftirqd/169]: count 17431, average 1307, total 22785190

@q5[ksoftirqd/169]: count 138664, average 445, total 61781911

@uc: count 9283, average 2700, total 25070733

@q1[swapper/169]: count 101, average 2900, total 292910
@q1[ksoftirqd/169]: count 16, average 6305, total 100891

@q2[swapper/169]: count 188, average 719, total 135194
@q2[ksoftirqd/169]: count 19, average 2791, total 53040


@q4[swapper/169]: count 3999, average 1135, total 4541224
@q4[ksoftirqd/169]: count 17818, average 1227, total 21868743

@q5[ksoftirqd/169]: count 141657, average 447, total 63447629
@q5[swapper/169]: count 31316, average 503, total 15753176

@uc: count 11742, average 3316, total 38937834
