Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q5[ksoftirqd/169]: count 167055, average 429, total 71721634

@uc: count 3936, average 7208, total 28373963




@q4[ksoftirqd/169]: count 21162, average 1271, total 26900538

@q5[ksoftirqd/169]: count 168370, average 428, total 72188715

@uc: count 3780, average 3816, total 14426634




@q4[ksoftirqd/169]: count 20977, average 1272, total 26700225

@q5[ksoftirqd/169]: count 166841, average 429, total 71621865

@uc: count 5025, average 5197, total 26118384




@q4[ksoftirqd/169]: count 21325, average 1268, total 27055444

@q5[ksoftirqd/169]: count 169542, average 429, total 72795854

@uc: count 3969, average 3469, total 13770716




@q4[ksoftirqd/169]: count 20993, average 1273, total 26728965

@q5[ksoftirqd/169]: count 166978, average 429, total 71736281

@uc: count 3853, average 4611, total 17768291




@q4[ksoftirqd/169]: count 21046, average 1270, total 26748100

@q5[ksoftirqd/169]: count 167431, average 429, total 71979159

@uc: count 4963, average 5217, total 25893024




@q4[ksoftirqd/169]: count 20920, average 1269, total 26566859

@q5[ksoftirqd/169]: count 166325, average 429, total 71499854

@uc: count 5282, average 6713, total 35460268




@q4[ksoftirqd/169]: count 20796, average 1272, total 26457125

@q5[ksoftirqd/169]: count 165467, average 429, total 71044846

@uc: count 4019, average 3459, total 13902552




@q4[ksoftirqd/169]: count 21099, average 1271, total 26824355

@q5[ksoftirqd/169]: count 167750, average 429, total 71980268

@uc: count 4942, average 4113, total 20328193

@q1[swapper/169]: count 277, average 2759, total 764319
@q1[ksoftirqd/169]: count 50, average 3428, total 171407
@q1[iperf]: count 1, average 18554, total 18554

@q2[swapper/169]: count 413, average 664, total 274380
@q2[ksoftirqd/169]: count 80, average 1101, total 88118
@q2[iperf]: count 1, average 14397, total 14397


@q4[swapper/169]: count 8253, average 1057, total 8729500
@q4[ksoftirqd/169]: count 23984, average 1318, total 31627866
@q4[iperf]: count 32, average 2007, total 64245

@q5[swapper/169]: count 64624, average 470, total 30381507
@q5[ksoftirqd/169]: count 190537, average 520, total 99088357
@q5[iperf]: count 252, average 544, total 137302

@uc: count 18484, average 3711, total 68608888

@q1[ksoftirqd/169]: count 96, average 2625, total 252088
@q1[swapper/169]: count 1030, average 2969, total 3058541
@q1[iperf]: count 2, average 10525, total 21050

@q2[swapper/169]: count 1393, average 666, total 929059
@q2[ksoftirqd/169]: count 160, average 708, total 113306
@q2[iperf]: count 5, average 2755, total 13776


@q4[swapper/169]: count 21898, average 1053, total 23077348
@q4[ksoftirqd/169]: count 20244, average 1530, total 30991037
@q4[iperf]: count 43, average 1597, total 68712

@q5[swapper/169]: count 170882, average 468, total 80036735
@q5[iperf]: count 330, average 491, total 162122
@q5[ksoftirqd/169]: count 160544, average 673, total 108056019

@uc: count 31874, average 1834, total 58482002
