Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[ksoftirqd/169]: count 17952, average 1273, total 22869038

@q5[ksoftirqd/169]: count 142776, average 439, total 62698210

@uc: count 7370, average 2660, total 19608602




@q4[ksoftirqd/169]: count 17911, average 1304, total 23361941

@q5[ksoftirqd/169]: count 142498, average 439, total 62672806

@uc: count 5827, average 2980, total 17366244




@q4[ksoftirqd/169]: count 17747, average 1281, total 22739836

@q5[ksoftirqd/169]: count 141137, average 439, total 62054843

@uc: count 5338, average 3580, total 19115287




@q4[ksoftirqd/169]: count 17712, average 1295, total 22952462

@q5[ksoftirqd/169]: count 140868, average 440, total 61983423

@uc: count 6516, average 3261, total 21249664




@q4[ksoftirqd/169]: count 17708, average 1296, total 22966845

@q5[ksoftirqd/169]: count 140883, average 441, total 62154494

@uc: count 4588, average 3456, total 15856246




@q4[ksoftirqd/169]: count 17497, average 1305, total 22838866

@q5[ksoftirqd/169]: count 139166, average 442, total 61605147

@uc: count 5211, average 3170, total 16520885




@q4[ksoftirqd/169]: count 17771, average 1288, total 22898184

@q5[ksoftirqd/169]: count 141305, average 439, total 62164007

@uc: count 5045, average 3559, total 17957150




@q4[ksoftirqd/169]: count 17614, average 1304, total 22979453

@q5[ksoftirqd/169]: count 140136, average 441, total 61891943

@uc: count 6651, average 6727, total 44745654




@q4[ksoftirqd/169]: count 17620, average 1297, total 22854448

@q5[ksoftirqd/169]: count 140127, average 442, total 61996886

@uc: count 6551, average 2907, total 19047522




@q4[ksoftirqd/169]: count 17704, average 1297, total 22979651

@q5[ksoftirqd/169]: count 140804, average 439, total 61919537

@uc: count 7725, average 2603, total 20108607




@q4[ksoftirqd/169]: count 17696, average 1291, total 22849787

@q5[ksoftirqd/169]: count 140740, average 439, total 61853344

@uc: count 8401, average 2449, total 20578210




@q4[ksoftirqd/169]: count 17576, average 1280, total 22502584

@q5[ksoftirqd/169]: count 139786, average 440, total 61644497

@uc: count 7799, average 2852, total 22244577




@q4[ksoftirqd/169]: count 17136, average 1333, total 22854253

@q5[ksoftirqd/169]: count 136286, average 443, total 60398988

@uc: count 4689, average 5876, total 27553160




@q4[ksoftirqd/169]: count 17766, average 1308, total 23254662

@q5[ksoftirqd/169]: count 141305, average 442, total 62518172

@uc: count 5049, average 4265, total 21535706




@q4[ksoftirqd/169]: count 17337, average 1302, total 22584018

@q5[ksoftirqd/169]: count 137845, average 441, total 60837076

@uc: count 5760, average 3685, total 21231334




@q4[ksoftirqd/169]: count 17525, average 1306, total 22891514

@q5[ksoftirqd/169]: count 139428, average 441, total 61507368

@uc: count 5553, average 3550, total 19713713




@q4[ksoftirqd/169]: count 17221, average 1307, total 22523329

@q5[ksoftirqd/169]: count 136954, average 440, total 60302663

