Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q5[ksoftirqd/169]: count 179607, average 491, total 88296796

@uc: count 175099, average 4330, total 758213998




@q4[ksoftirqd/169]: count 23622, average 1769, total 41809336

@q5[ksoftirqd/169]: count 187876, average 481, total 90410546

@uc: count 209000, average 3517, total 735064730




@q4[ksoftirqd/169]: count 24215, average 1768, total 42816784

@q5[ksoftirqd/169]: count 192587, average 477, total 91968796

@uc: count 191408, average 3860, total 738854335




@q4[ksoftirqd/169]: count 22922, average 1784, total 40897507

@q5[ksoftirqd/169]: count 182330, average 482, total 88025065

@uc: count 182274, average 4441, total 809496664




@q4[ksoftirqd/169]: count 24129, average 1775, total 42829162

@q5[ksoftirqd/169]: count 191907, average 471, total 90547504

@uc: count 191222, average 3943, total 754056442




@q4[ksoftirqd/169]: count 24494, average 1780, total 43613072

@q5[ksoftirqd/169]: count 194819, average 476, total 92928311

@uc: count 203984, average 4134, total 843409103
