oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-udr  | [2023-08-09 07:37:58.555] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.556] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.560] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.561] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.565] [udr_mysql] [error] [UE Id 208950000000676] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000676'
oai-udr     | [2023-08-09 07:37:58.567] [udr_mysql] [error] [UE Id 208950000000676] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000676'
oai-udr     | [2023-08-09 07:37:58.571] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.573] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.577] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.578] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.582] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.583] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.587] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.588] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.592] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.594] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.598] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.600] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.604] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.606] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.610] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.611] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.615] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.616] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.619] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.621] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.624] [udr_mysql] [error] [UE Id 208950000000676] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000676'
oai-udr     | [2023-08-09 07:37:58.626] [udr_mysql] [error] [UE Id 208950000000676] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000676'
oai-udr     | [2023-08-09 07:37:58.629] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.631] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.634] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.636] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.640] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.641] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
