Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@q4[swapper/169]: count 18922, average 1626, total 30785190
@q4[iperf]: count 5, average 2937, total 14688

@q5[swapper/169]: count 145923, average 711, total 103762456
@q5[ksoftirqd/169]: count 7086, average 713, total 5052333
@q5[iperf]: count 18, average 1399, total 25187

@uc: count 20286, average 2765, total 56095320

@q1[swapper/169]: count 379, average 3230, total 1224241
@q1[ksoftirqd/169]: count 85, average 3490, total 296691
@q1[iperf]: count 2, average 13510, total 27020

@q2[swapper/169]: count 1554, average 1056, total 1642213
@q2[ksoftirqd/169]: count 178, average 1111, total 197779
@q2[iperf]: count 2, average 5555, total 11111


@q4[ksoftirqd/169]: count 951, average 1614, total 1535018
@q4[swapper/169]: count 18899, average 1630, total 30823731
@q4[iperf]: count 2, average 8200, total 16401

@q5[swapper/169]: count 145963, average 711, total 103821261
@q5[ksoftirqd/169]: count 7059, average 714, total 5042202
@q5[iperf]: count 7, average 2549, total 17844

@uc: count 20267, average 2368, total 48008327

@q1[swapper/169]: count 379, average 3312, total 1255294
@q1[ksoftirqd/169]: count 75, average 3647, total 273595
@q1[iperf]: count 3, average 10305, total 30917

@q2[swapper/169]: count 1556, average 1076, total 1674540
@q2[ksoftirqd/169]: count 171, average 1124, total 192226
@q2[iperf]: count 3, average 4779, total 14337


@q4[ksoftirqd/169]: count 961, average 1597, total 1535012
@q4[swapper/169]: count 18888, average 1633, total 30851166
@q4[iperf]: count 3, average 5119, total 15359

@q5[swapper/169]: count 145876, average 711, total 103837174
@q5[ksoftirqd/169]: count 7178, average 714, total 5127820
@q5[iperf]: count 9, average 1748, total 15738

@uc: count 20370, average 2437, total 49652553

@q1[swapper/169]: count 396, average 3313, total 1312056
@q1[ksoftirqd/169]: count 67, average 3680, total 246593

@q2[swapper/169]: count 1564, average 1057, total 1654404
@q2[ksoftirqd/169]: count 149, average 1245, total 185505


@q4[ksoftirqd/169]: count 847, average 1606, total 1361106
@q4[swapper/169]: count 18978, average 1633, total 30993503

@q5[swapper/169]: count 146726, average 713, total 104701118
@q5[ksoftirqd/169]: count 6342, average 714, total 4533989

@uc: count 20368, average 2491, total 50745420

@q1[swapper/169]: count 395, average 3328, total 1314761
@q1[ksoftirqd/169]: count 66, average 3474, total 229288
@q1[iperf]: count 3, average 16016, total 48050

@q2[swapper/169]: count 1576, average 1064, total 1678390
@q2[ksoftirqd/169]: count 155, average 1130, total 175191
@q2[iperf]: count 3, average 7400, total 22201


@q4[swapper/169]: count 18964, average 1632, total 30962661
@q4[ksoftirqd/169]: count 874, average 1640, total 1434129
@q4[iperf]: count 3, average 6629, total 19887

@q5[swapper/169]: count 146514, average 711, total 104248319
@q5[ksoftirqd/169]: count 6522, average 715, total 4669114
@q5[iperf]: count 12, average 1951, total 23415

@uc: count 20358, average 2554, total 52009564

@q1[swapper/169]: count 386, average 3245, total 1252833
@q1[ksoftirqd/169]: count 75, average 3754, total 281608
@q1[iperf]: count 2, average 21801, total 43602

@q2[swapper/169]: count 1558, average 1053, total 1641104
@q2[ksoftirqd/169]: count 178, average 1215, total 216306
@q2[iperf]: count 2, average 10043, total 20087


@q4[ksoftirqd/169]: count 997, average 1617, total 1612411
@q4[swapper/169]: count 18838, average 1635, total 30810688
@q4[iperf]: count 2, average 9913, total 19827

@q5[swapper/169]: count 145631, average 712, total 103760898
@q5[ksoftirqd/169]: count 7470, average 713, total 5331270
@q5[iperf]: count 9, average 2708, total 24375

@uc: count 20294, average 2401, total 48735444

@q1[swapper/169]: count 392, average 3289, total 1289331
@q1[ksoftirqd/169]: count 59, average 3609, total 212971
@q1[iperf]: count 5, average 6656, total 33283

@q2[swapper/169]: count 1584, average 1062, total 1683256
@q2[ksoftirqd/169]: count 147, average 1131, total 166373
@q2[iperf]: count 5, average 2773, total 13866


@q4[ksoftirqd/169]: count 831, average 1603, total 1332111
@q4[swapper/169]: count 18997, average 1636, total 31097276
@q4[iperf]: count 5, average 3584, total 17924

@q5[swapper/169]: count 146787, average 711, total 104389119
@q5[ksoftirqd/169]: count 6208, average 713, total 4429128
@q5[iperf]: count 17, average 1297, total 22054

@uc: count 20245, average 2487, total 50364717

@q1[swapper/169]: count 390, average 3269, total 1274977
@q1[ksoftirqd/169]: count 76, average 3711, total 282076

@q2[swapper/169]: count 1567, average 1067, total 1672955
