Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282
@q4[kworker/169:1]: count 34, average 2132, total 72499

@q5[openssl]: count 233356, average 429, total 100326824
@q5[ksoftirqd/169]: count 4419, average 432, total 1911043
@q5[kworker/169:1]: count 269, average 554, total 149070

@uc: count 2542, average 16943, total 43070884

@q1[openssl]: count 677, average 1777, total 1203582
@q1[ksoftirqd/169]: count 55, average 1986, total 109260

@q2[openssl]: count 1382, average 597, total 825653
@q2[ksoftirqd/169]: count 120, average 692, total 83071


@q4[ksoftirqd/169]: count 720, average 950, total 684079
@q4[openssl]: count 30014, average 955, total 28687831

@q5[openssl]: count 232839, average 429, total 99954675
@q5[ksoftirqd/169]: count 5273, average 430, total 2271941

@uc: count 1984, average 7201, total 14287626

@q1[openssl]: count 664, average 1771, total 1176406
@q1[ksoftirqd/169]: count 58, average 2372, total 137585

@q2[openssl]: count 1376, average 594, total 818082
@q2[ksoftirqd/169]: count 118, average 730, total 86253


@q4[openssl]: count 29930, average 959, total 28704820
@q4[ksoftirqd/169]: count 794, average 968, total 768902

@q5[openssl]: count 232178, average 429, total 99835882
@q5[ksoftirqd/169]: count 5890, average 430, total 2536654

@uc: count 1882, average 6818, total 12833199

@q1[openssl]: count 654, average 1769, total 1157107
@q1[ksoftirqd/169]: count 63, average 1972, total 124241

@q2[openssl]: count 1384, average 614, total 849864
@q2[ksoftirqd/169]: count 131, average 697, total 91385


@q4[ksoftirqd/169]: count 884, average 952, total 842042
@q4[openssl]: count 29858, average 961, total 28704595

@q5[openssl]: count 231548, average 429, total 99536568
@q5[ksoftirqd/169]: count 6569, average 431, total 2833209

@uc: count 2232, average 6710, total 14977305

@q1[openssl]: count 667, average 1741, total 1161451
@q1[ksoftirqd/169]: count 51, average 2030, total 103564

@q2[openssl]: count 1434, average 594, total 851917
@q2[ksoftirqd/169]: count 106, average 746, total 79089


@q4[ksoftirqd/169]: count 569, average 943, total 536616
@q4[openssl]: count 30176, average 960, total 28975270

@q5[ksoftirqd/169]: count 4131, average 429, total 1774695
@q5[openssl]: count 233896, average 430, total 100635743

@uc: count 2011, average 6337, total 12745564

@q1[openssl]: count 682, average 1719, total 1172595
@q1[ksoftirqd/169]: count 43, average 1960, total 84298

@q2[openssl]: count 1474, average 598, total 881951
@q2[ksoftirqd/169]: count 85, average 674, total 57305


@q4[ksoftirqd/169]: count 532, average 948, total 504693
@q4[openssl]: count 30234, average 959, total 29020621

@q5[openssl]: count 234173, average 429, total 100666710
@q5[ksoftirqd/169]: count 3902, average 432, total 1688205

@uc: count 1872, average 6418, total 12014690

@q1[openssl]: count 668, average 1722, total 1150312
@q1[ksoftirqd/169]: count 47, average 2083, total 97902
@q1[kworker/169:1]: count 1, average 19065, total 19065

