Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q5[swapper/169]: count 175520, average 913, total 160304687

@uc: count 29904, average 1692, total 50614400

@q1[swapper/169]: count 481, average 2692, total 1295247
@q1[ksoftirqd/169]: count 137, average 2753, total 377181

@q2[swapper/169]: count 713, average 680, total 485422
@q2[ksoftirqd/169]: count 209, average 681, total 142491


@q4[swapper/169]: count 21808, average 1032, total 22521833
@q4[ksoftirqd/169]: count 22578, average 1430, total 32296820

@q5[swapper/169]: count 171424, average 465, total 79758917
@q5[ksoftirqd/169]: count 179023, average 632, total 113279969

@uc: count 29939, average 1573, total 47099496

@q1[swapper/169]: count 483, average 2658, total 1283951
@q1[ksoftirqd/169]: count 125, average 2992, total 374018

@q2[swapper/169]: count 699, average 656, total 458809
@q2[ksoftirqd/169]: count 198, average 809, total 160284


@q4[swapper/169]: count 21902, average 1034, total 22660389
@q4[ksoftirqd/169]: count 22277, average 1430, total 31867728

@q5[swapper/169]: count 172236, average 466, total 80335143
@q5[ksoftirqd/169]: count 176656, average 633, total 111865366

@uc: count 32670, average 1625, total 53092860

@q1[ksoftirqd/169]: count 122, average 2628, total 320684
@q1[swapper/169]: count 523, average 2755, total 1441120
@q1[iperf]: count 1, average 38863, total 38863

@q2[swapper/169]: count 772, average 644, total 497774
@q2[ksoftirqd/169]: count 200, average 820, total 164040
@q2[kworker/169:2]: count 2, average 12213, total 24426
@q2[iperf]: count 2, average 13616, total 27232


@q4[swapper/169]: count 23041, average 1017, total 23455171
@q4[kworker/169:2]: count 48, average 1273, total 61146
@q4[ksoftirqd/169]: count 21224, average 1426, total 30277071
@q4[iperf]: count 25, average 1647, total 41185

@q5[swapper/169]: count 181144, average 459, total 83164694
@q5[kworker/169:2]: count 378, average 465, total 176074
@q5[iperf]: count 194, average 517, total 100312
@q5[ksoftirqd/169]: count 168204, average 631, total 106268318

@uc: count 30793, average 1590, total 48980465

@q1[ksoftirqd/169]: count 129, average 2707, total 349291
@q1[swapper/169]: count 492, average 2741, total 1348638

@q2[swapper/169]: count 706, average 647, total 457019
@q2[ksoftirqd/169]: count 206, average 747, total 153927
@q2[iperf]: count 1, average 26680, total 26680


@q4[swapper/169]: count 21662, average 1030, total 22314840
@q4[ksoftirqd/169]: count 22516, average 1425, total 32089831
@q4[iperf]: count 74, average 1824, total 135025

@q5[swapper/169]: count 170282, average 463, total 78883520
@q5[ksoftirqd/169]: count 178549, average 631, total 112801010
@q5[iperf]: count 586, average 723, total 423967

@uc: count 30564, average 1680, total 51365018

@q1[ksoftirqd/169]: count 103, average 2679, total 275985
@q1[swapper/169]: count 477, average 2747, total 1310663
@q1[kworker/169:2]: count 1, average 38201, total 38201

@q2[swapper/169]: count 720, average 658, total 474238
@q2[ksoftirqd/169]: count 170, average 822, total 139886
@q2[iperf]: count 2, average 11140, total 22281
