Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[iperf]: count 53, average 1297, total 68769
@q4[ksoftirqd/169]: count 20196, average 1435, total 29000199

@q5[kworker/169:2]: count 370, average 458, total 169738
@q5[swapper/169]: count 186586, average 461, total 86135170
@q5[iperf]: count 411, average 466, total 191682
@q5[ksoftirqd/169]: count 160238, average 636, total 102027203

@uc: count 30724, average 1881, total 57817596

@q1[swapper/169]: count 552, average 2733, total 1508856
@q1[ksoftirqd/169]: count 86, average 2799, total 240772

@q2[swapper/169]: count 897, average 678, total 609009
@q2[ksoftirqd/169]: count 128, average 714, total 91444


@q4[swapper/169]: count 27049, average 1011, total 27368170
@q4[ksoftirqd/169]: count 16522, average 1475, total 24384104

@q5[swapper/169]: count 212728, average 451, total 96007440
@q5[ksoftirqd/169]: count 131022, average 652, total 85491219

@uc: count 25562, average 1871, total 47851718

@q1[swapper/169]: count 502, average 2731, total 1371364
@q1[ksoftirqd/169]: count 91, average 3045, total 277168
@q1[iperf]: count 2, average 22166, total 44333

@q2[swapper/169]: count 821, average 689, total 566205
@q2[ksoftirqd/169]: count 138, average 744, total 102747
@q2[iperf]: count 2, average 12769, total 25538


@q4[swapper/169]: count 25569, average 1025, total 26217849
@q4[ksoftirqd/169]: count 18241, average 1465, total 26725837
@q4[iperf]: count 15, average 2259, total 33886

@q5[swapper/169]: count 201177, average 457, total 92080626
@q5[iperf]: count 116, average 606, total 70315
@q5[ksoftirqd/169]: count 144758, average 647, total 93795585

@uc: count 27234, average 1953, total 53196065

@q1[swapper/169]: count 590, average 2711, total 1599896
@q1[ksoftirqd/169]: count 87, average 2986, total 259801

@q2[swapper/169]: count 977, average 683, total 667482
@q2[ksoftirqd/169]: count 132, average 762, total 100621


@q4[swapper/169]: count 28502, average 1005, total 28659158
@q4[ksoftirqd/169]: count 15225, average 1466, total 22322518

@q5[swapper/169]: count 224086, average 448, total 100612278
@q5[ksoftirqd/169]: count 120787, average 650, total 78523379

@uc: count 25985, average 2001, total 52005896

@q1[swapper/169]: count 582, average 2697, total 1570157
@q1[ksoftirqd/169]: count 88, average 3269, total 287754

@q2[swapper/169]: count 954, average 661, total 631062
