Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[iperf]: count 3, average 6655, total 19967

@q2[swapper/169]: count 732, average 668, total 489142
@q2[ksoftirqd/169]: count 189, average 777, total 146961
@q2[iperf]: count 5, average 2460, total 12304


@q4[swapper/169]: count 21950, average 1023, total 22464969
@q4[iperf]: count 56, average 1090, total 61044
@q4[ksoftirqd/169]: count 21792, average 1441, total 31421320

@q5[iperf]: count 437, average 457, total 200100
@q5[swapper/169]: count 172512, average 460, total 79486381
@q5[ksoftirqd/169]: count 172773, average 648, total 112030809

@uc: count 31582, average 1773, total 56002681

@q1[swapper/169]: count 479, average 2674, total 1281203
@q1[ksoftirqd/169]: count 110, average 3011, total 331255

@q2[ksoftirqd/169]: count 176, average 697, total 122760
@q2[swapper/169]: count 721, average 701, total 505525
@q2[iperf]: count 2, average 11957, total 23914


@q4[swapper/169]: count 22349, average 1024, total 22896462
@q4[ksoftirqd/169]: count 21694, average 1429, total 31009486
@q4[iperf]: count 17, average 1951, total 33170

@q5[swapper/169]: count 175825, average 461, total 81129281
@q5[iperf]: count 133, average 562, total 74876
@q5[ksoftirqd/169]: count 172065, average 644, total 110848631

@uc: count 31931, average 2057, total 65682542

@q1[swapper/169]: count 488, average 2724, total 1329470
@q1[ksoftirqd/169]: count 126, average 2804, total 353396
@q1[kworker/169:0]: count 1, average 36218, total 36218

@q2[swapper/169]: count 721, average 703, total 507332
@q2[ksoftirqd/169]: count 183, average 726, total 132877
@q2[kworker/169:0]: count 1, average 12063, total 12063


@q4[swapper/169]: count 22232, average 1027, total 22849390
@q4[kworker/169:0]: count 45, average 1291, total 58122
@q4[ksoftirqd/169]: count 21534, average 1446, total 31140488
@q4[iperf]: count 8, average 3462, total 27702

@q5[swapper/169]: count 174811, average 463, total 80952689
@q5[kworker/169:0]: count 355, average 470, total 167191
@q5[ksoftirqd/169]: count 170778, average 650, total 111145210
@q5[iperf]: count 64, average 839, total 53739

@uc: count 31773, average 2158, total 68575809

@q1[swapper/169]: count 445, average 2635, total 1172760
@q1[ksoftirqd/169]: count 136, average 2922, total 397479

@q2[swapper/169]: count 671, average 661, total 443625
@q2[ksoftirqd/169]: count 210, average 782, total 164375


@q4[swapper/169]: count 20843, average 1032, total 21520186
@q4[ksoftirqd/169]: count 22670, average 1448, total 32837555
@q4[iperf]: count 96, average 1552, total 149086

@q5[swapper/169]: count 338675, average 224, total 76121176
@q5[ksoftirqd/169]: count 179759, average 653, total 117382967
@q5[iperf]: count 765, average 675, total 516377

@uc: count 29625, average 1696, total 50261337

@q1[ksoftirqd/169]: count 140, average 2682, total 375617
@q1[swapper/169]: count 396, average 2729, total 1080836
@q1[iperf]: count 1, average 38132, total 38132

@q2[swapper/169]: count 618, average 669, total 413846
@q2[ksoftirqd/169]: count 210, average 797, total 167477
@q2[iperf]: count 3, average 8619, total 25858


@q4[swapper/169]: count 19742, average 1038, total 20506146
@q4[ksoftirqd/169]: count 23660, average 1445, total 34201317
@q4[iperf]: count 31, average 1484, total 46006

@q5[swapper/169]: count 155343, average 468, total 72777411
@q5[iperf]: count 241, average 496, total 119541
@q5[ksoftirqd/169]: count 187633, average 646, total 121372478

@uc: count 31494, average 2222, total 69992048

@q1[swapper/169]: count 448, average 2594, total 1162114
@q1[ksoftirqd/169]: count 137, average 2980, total 408340

@q2[swapper/169]: count 684, average 672, total 460085
@q2[ksoftirqd/169]: count 218, average 796, total 173592
@q2[iperf]: count 2, average 12383, total 24766


@q4[swapper/169]: count 21699, average 1037, total 22519880
@q4[ksoftirqd/169]: count 21900, average 1447, total 31703532
@q4[iperf]: count 80, average 1685, total 134873

@q5[swapper/169]: count 170671, average 467, total 79824514
@q5[ksoftirqd/169]: count 173555, average 652, total 113273144
@q5[iperf]: count 634, average 735, total 466383

@uc: count 32159, average 1717, total 55217989

@q1[ksoftirqd/169]: count 124, average 2672, total 331450
@q1[swapper/169]: count 433, average 2693, total 1166245

@q2[ksoftirqd/169]: count 198, average 691, total 136946
@q2[swapper/169]: count 671, average 703, total 471923


@q4[swapper/169]: count 20562, average 1044, total 21466923
@q4[ksoftirqd/169]: count 22764, average 1446, total 32935875

@q5[swapper/169]: count 161660, average 470, total 76123903
@q5[ksoftirqd/169]: count 180554, average 653, total 118026467

@uc: count 31750, average 1708, total 54258899

@q1[swapper/169]: count 430, average 2653, total 1140942
@q1[ksoftirqd/169]: count 134, average 2932, total 392993
@q1[iperf]: count 1, average 39113, total 39113

@q2[swapper/169]: count 659, average 666, total 438906
@q2[ksoftirqd/169]: count 193, average 830, total 160196
@q2[iperf]: count 3, average 10432, total 31298


@q4[swapper/169]: count 20114, average 1049, total 21109674
@q4[iperf]: count 69, average 1233, total 85088
@q4[ksoftirqd/169]: count 23212, average 1450, total 33672082

@q5[iperf]: count 543, average 465, total 252685
@q5[swapper/169]: count 158176, average 472, total 74684904
@q5[ksoftirqd/169]: count 184057, average 653, total 120226815

@uc: count 32489, average 1637, total 53189829

@q1[swapper/169]: count 477, average 2666, total 1271707
@q1[ksoftirqd/169]: count 130, average 2763, total 359192

@q2[swapper/169]: count 729, average 690, total 503429
@q2[ksoftirqd/169]: count 201, average 704, total 141654


@q4[swapper/169]: count 21687, average 1034, total 22430312
@q4[ksoftirqd/169]: count 22023, average 1446, total 31862404

@q5[swapper/169]: count 170414, average 466, total 79503941
@q5[ksoftirqd/169]: count 174594, average 655, total 114428288

@uc: count 32324, average 1960, total 63382782

@q1[swapper/169]: count 458, average 2633, total 1206041
@q1[ksoftirqd/169]: count 117, average 2734, total 319972

@q2[swapper/169]: count 720, average 693, total 499622
@q2[ksoftirqd/169]: count 172, average 697, total 119950


@q4[swapper/169]: count 21585, average 1036, total 22383105
@q4[ksoftirqd/169]: count 22096, average 1448, total 31997870

@q5[swapper/169]: count 169618, average 467, total 79272551
@q5[ksoftirqd/169]: count 175302, average 655, total 114963352

@uc: count 32045, average 2049, total 65670565

@q1[swapper/169]: count 471, average 2595, total 1222489
@q1[ksoftirqd/169]: count 145, average 2817, total 408551

@q2[swapper/169]: count 719, average 662, total 476003
@q2[ksoftirqd/169]: count 213, average 790, total 168374


@q4[swapper/169]: count 21701, average 1031, total 22378878
@q4[ksoftirqd/169]: count 21925, average 1429, total 31349661

@q5[swapper/169]: count 170553, average 465, total 79378982
@q5[ksoftirqd/169]: count 173759, average 648, total 112758039

@uc: count 31674, average 1963, total 62204900

